angle (TWA),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
38,0.0,1.3,2.0,2.6,3.3,3.8,4.2,4.6,5.0,5.3,5.5,5.7,5.8,5.9,6.0,6.1,6.1,6.1,6.1,6.1
39,0.0,1.4,2.0,2.7,3.3,3.9,4.3,4.7,5.1,5.4,5.6,5.8,5.9,6.0,6.1,6.2,6.2,6.2,6.2,6.2
40,0.0,1.4,2.1,2.8,3.4,4.0,4.4,4.9,5.2,5.5,5.7,5.9,6.0,6.1,6.2,6.3,6.3,6.3,6.3,6.3
41,0.0,1.4,2.1,2.8,3.5,4.1,4.5,5.0,5.3,5.6,5.8,6.0,6.1,6.2,6.3,6.4,6.4,6.4,6.4,6.4
42,0.0,1.5,2.2,2.9,3.6,4.2,4.6,5.1,5.4,5.7,5.9,6.1,6.2,6.3,6.4,6.5,6.4,6.4,6.4,6.4
43,0.0,1.5,2.2,2.9,3.6,4.2,4.7,5.2,5.5,5.8,6.0,6.2,6.3,6.4,6.5,6.5,6.5,6.5,6.5,6.5
44,0.0,1.5,2.3,3.0,3.7,4.3,4.8,5.3,5.6,5.9,6.1,6.3,6.4,6.5,6.5,6.6,6.6,6.6,6.6,6.6
45,0.0,1.5,2.3,3.1,3.8,4.4,4.9,5.4,5.7,6.0,6.2,6.4,6.5,6.6,6.6,6.7,6.7,6.7,6.7,6.7
46,0.0,1.6,2.3,3.1,3.8,4.5,5.0,5.5,5.8,6.1,6.3,6.4,6.5,6.6,6.7,6.7,6.7,6.7,6.7,6.7
47,0.0,1.6,2.4,3.2,3.9,4.6,5.1,5.5,5.9,6.1,6.3,6.5,6.6,6.7,6.7,6.7,6.7,6.7,6.7,6.7
48,0.0,1.6,2.4,3.2,4.0,4.6,5.2,5.6,6.0,6.2,6.4,6.5,6.6,6.7,6.7,6.8,6.8,6.8,6.8,6.8
49,0.0,1.6,2.5,3.2,4.0,4.7,5.2,5.7,6.0,6.3,6.4,6.6,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8
50,0.0,1.7,2.5,3.3,4.1,4.8,5.3,5.7,6.1,6.3,6.5,6.7,6.7,6.8,6.9,6.9,6.9,6.9,6.9,6.9
51,0.0,1.7,2.5,3.4,4.1,4.8,5.4,5.8,6.1,6.4,6.5,6.7,6.8,6.9,6.9,7.0,7.0,7.0,7.0,7.0
52,0.0,1.7,2.6,3.4,4.2,4.9,5.4,5.8,6.2,6.4,6.6,6.8,6.8,6.9,7.0,7.0,7.0,7.0,7.0,7.0
53,0.0,1.7,2.6,3.5,4.2,4.9,5.5,5.9,6.2,6.5,6.6,6.8,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0
54,0.0,1.8,2.6,3.5,4.3,5.0,5.5,5.9,6.3,6.5,6.7,6.8,6.9,7.0,7.0,7.1,7.1,7.1,7.1,7.1
55,0.0,1.8,2.6,3.5,4.3,5.0,5.6,6.0,6.3,6.6,6.7,6.9,7.0,7.0,7.1,7.1,7.1,7.1,7.1,7.1
56,0.0,1.8,2.7,3.6,4.4,5.1,5.6,6.0,6.4,6.6,6.8,6.9,7.0,7.1,7.1,7.2,7.2,7.2,7.2,7.2
57,0.0,1.8,2.7,3.6,4.4,5.1,5.7,6.1,6.4,6.6,6.8,7.0,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.2
58,0.0,1.8,2.7,3.6,4.5,5.2,5.7,6.1,6.4,6.6,6.8,7.0,7.1,7.2,7.2,7.2,7.2,7.2,7.3,7.3
59,0.0,1.8,2.7,3.7,4.5,5.2,5.8,6.1,6.4,6.7,6.9,7.0,7.1,7.2,7.2,7.3,7.3,7.3,7.3,7.3
60,0.0,1.9,2.8,3.7,4.5,5.3,5.8,6.2,6.5,6.7,6.9,7.1,7.1,7.2,7.3,7.3,7.3,7.3,7.3,7.3
61,0.0,1.9,2.8,3.7,4.6,5.3,5.8,6.2,6.5,6.7,6.9,7.1,7.2,7.3,7.3,7.3,7.3,7.4,7.4,7.4
62,0.0,1.9,2.8,3.7,4.6,5.3,5.8,6.2,6.5,6.7,6.9,7.1,7.2,7.3,7.3,7.4,7.4,7.4,7.4,7.4
63,0.0,1.9,2.8,3.8,4.6,5.4,5.9,6.2,6.5,6.8,6.9,7.1,7.2,7.3,7.4,7.4,7.4,7.4,7.4,7.4
64,0.0,1.9,2.8,3.8,4.7,5.4,5.9,6.3,6.6,6.8,7.0,7.1,7.2,7.4,7.4,7.4,7.4,7.5,7.5,7.5
65,0.0,1.9,2.9,3.8,4.7,5.4,5.9,6.3,6.6,6.8,7.0,7.2,7.3,7.4,7.4,7.5,7.5,7.5,7.5,7.5
66,0.0,1.9,2.9,3.8,4.7,5.4,5.9,6.3,6.6,6.8,7.0,7.2,7.3,7.4,7.5,7.5,7.5,7.5,7.5,7.6
67,0.0,1.9,2.9,3.9,4.7,5.5,6.0,6.3,6.6,6.8,7.0,7.2,7.3,7.4,7.5,7.5,7.5,7.6,7.6,7.6
